GPUID,Merek,Seri,Harga GPU ($),Asesmen Kualitas (1-5)
0001,Nvidia,RTX 3090,1499,4.8
0002,Nvidia,RTX 3080,699,4.4
0003,Nvidia,RTX 2070 Super,499,3.6
0004,Nvidia,RTX 2080 Ti,1199,4.2
0005,Nvidia,GTX 1650,149,3
0006,Nvidia,GTX 1060,249,3
0007,Nvidia,GTX 1070,379,3.2
0008,Nvidia,GTX 1080 Ti,699,3.8
0009,AMD,Radeon RX 6800 XT,649,4.4
0010,AMD,Radeon RX 6900 XT,999,4.4
0011,AMD,Radeon RX 6800,579,4.4
0012,AMD,Radeon RX 6700XT,479,4.2
0013,AMD,Radeon RX 6600XT,379,3.6
0014,AMD,Radeon RX 6600,329,3.26
0015,AMD,Radeon RX 5300,129,3.2
0016,AMD,Radeon RX 5700XT,499,3.8
0017,AMD,Radeon RX 580X,229,2.8
0018,AMD,Radeon RX 570X,169,2.8
0019,AMD,Radeon RX 560X,99,2.6
0020,AMD,Radeon RX 550X,79,2.6
0022,AMD,Radeon RX 540X,60,2.6
0021,AMD,Radeon RX 5700XT,79,2.2
